,Unit,Value,Year,Month,Numeric_date
890,Parts Per Million,358.14,1995.0,10.0,1995.8333333333333
892,Parts Per Million,359.61,1995.0,11.0,1995.9166666666667
894,Parts Per Million,360.82,1995.0,12.0,1996.0
896,Parts Per Million,362.2,1996.0,1.0,1996.0833333333333
898,Parts Per Million,363.36,1996.0,2.0,1996.1666666666667
900,Parts Per Million,364.28,1996.0,3.0,1996.25
902,Parts Per Million,364.69,1996.0,4.0,1996.3333333333333
904,Parts Per Million,365.25,1996.0,5.0,1996.4166666666667
906,Parts Per Million,365.06,1996.0,6.0,1996.5
908,Parts Per Million,363.69,1996.0,7.0,1996.5833333333333
910,Parts Per Million,361.55,1996.0,8.0,1996.6666666666667
912,Parts Per Million,359.69,1996.0,9.0,1996.75
914,Parts Per Million,359.72,1996.0,10.0,1996.8333333333333
916,Parts Per Million,361.04,1996.0,11.0,1996.9166666666667
918,Parts Per Million,362.39,1996.0,12.0,1997.0
920,Parts Per Million,363.24,1997.0,1.0,1997.0833333333333
922,Parts Per Million,364.21,1997.0,2.0,1997.1666666666667
924,Parts Per Million,364.65,1997.0,3.0,1997.25
926,Parts Per Million,366.48,1997.0,4.0,1997.3333333333333
928,Parts Per Million,366.77,1997.0,5.0,1997.4166666666667
930,Parts Per Million,365.73,1997.0,6.0,1997.5
932,Parts Per Million,364.46,1997.0,7.0,1997.5833333333333
934,Parts Per Million,362.4,1997.0,8.0,1997.6666666666667
936,Parts Per Million,360.44,1997.0,9.0,1997.75
938,Parts Per Million,360.98,1997.0,10.0,1997.8333333333333
940,Parts Per Million,362.65,1997.0,11.0,1997.9166666666667
942,Parts Per Million,364.51,1997.0,12.0,1998.0
944,Parts Per Million,365.39,1998.0,1.0,1998.0833333333333
946,Parts Per Million,366.1,1998.0,2.0,1998.1666666666667
948,Parts Per Million,367.36,1998.0,3.0,1998.25
950,Parts Per Million,368.79,1998.0,4.0,1998.3333333333333
952,Parts Per Million,369.56,1998.0,5.0,1998.4166666666667
954,Parts Per Million,369.13,1998.0,6.0,1998.5
956,Parts Per Million,367.98,1998.0,7.0,1998.5833333333333
958,Parts Per Million,366.1,1998.0,8.0,1998.6666666666667
960,Parts Per Million,364.16,1998.0,9.0,1998.75
962,Parts Per Million,364.54,1998.0,10.0,1998.8333333333333
964,Parts Per Million,365.67,1998.0,11.0,1998.9166666666667
966,Parts Per Million,367.3,1998.0,12.0,1999.0
968,Parts Per Million,368.35,1999.0,1.0,1999.0833333333333
970,Parts Per Million,369.28,1999.0,2.0,1999.1666666666667
972,Parts Per Million,369.84,1999.0,3.0,1999.25
974,Parts Per Million,371.15,1999.0,4.0,1999.3333333333333
976,Parts Per Million,371.12,1999.0,5.0,1999.4166666666667
978,Parts Per Million,370.46,1999.0,6.0,1999.5
980,Parts Per Million,369.61,1999.0,7.0,1999.5833333333333
982,Parts Per Million,367.06,1999.0,8.0,1999.6666666666667
984,Parts Per Million,364.95,1999.0,9.0,1999.75
986,Parts Per Million,365.52,1999.0,10.0,1999.8333333333333
988,Parts Per Million,366.88,1999.0,11.0,1999.9166666666667
990,Parts Per Million,368.26,1999.0,12.0,2000.0
992,Parts Per Million,369.45,2000.0,1.0,2000.0833333333333
994,Parts Per Million,369.71,2000.0,2.0,2000.1666666666667
996,Parts Per Million,370.75,2000.0,3.0,2000.25
998,Parts Per Million,371.98,2000.0,4.0,2000.3333333333333
1000,Parts Per Million,371.75,2000.0,5.0,2000.4166666666667
1002,Parts Per Million,371.87,2000.0,6.0,2000.5
1004,Parts Per Million,370.02,2000.0,7.0,2000.5833333333333
1006,Parts Per Million,368.27,2000.0,8.0,2000.6666666666667
1008,Parts Per Million,367.15,2000.0,9.0,2000.75
1010,Parts Per Million,367.18,2000.0,10.0,2000.8333333333333
1012,Parts Per Million,368.53,2000.0,11.0,2000.9166666666667
1014,Parts Per Million,369.83,2000.0,12.0,2001.0
1016,Parts Per Million,370.76,2001.0,1.0,2001.0833333333333
1018,Parts Per Million,371.69,2001.0,2.0,2001.1666666666667
1020,Parts Per Million,372.63,2001.0,3.0,2001.25
1022,Parts Per Million,373.55,2001.0,4.0,2001.3333333333333
1024,Parts Per Million,374.03,2001.0,5.0,2001.4166666666667
1026,Parts Per Million,373.4,2001.0,6.0,2001.5
1028,Parts Per Million,371.68,2001.0,7.0,2001.5833333333333
1030,Parts Per Million,369.78,2001.0,8.0,2001.6666666666667
1032,Parts Per Million,368.34,2001.0,9.0,2001.75
1034,Parts Per Million,368.61,2001.0,10.0,2001.8333333333333
1036,Parts Per Million,369.94,2001.0,11.0,2001.9166666666667
1038,Parts Per Million,371.42,2001.0,12.0,2002.0
1040,Parts Per Million,372.7,2002.0,1.0,2002.0833333333333
1042,Parts Per Million,373.37,2002.0,2.0,2002.1666666666667
1044,Parts Per Million,374.3,2002.0,3.0,2002.25
1046,Parts Per Million,375.19,2002.0,4.0,2002.3333333333333
1048,Parts Per Million,375.93,2002.0,5.0,2002.4166666666667
1050,Parts Per Million,375.69,2002.0,6.0,2002.5
1052,Parts Per Million,374.16,2002.0,7.0,2002.5833333333333
1054,Parts Per Million,372.03,2002.0,8.0,2002.6666666666667
1056,Parts Per Million,370.92,2002.0,9.0,2002.75
1058,Parts Per Million,370.73,2002.0,10.0,2002.8333333333333
1060,Parts Per Million,372.43,2002.0,11.0,2002.9166666666667
1062,Parts Per Million,373.98,2002.0,12.0,2003.0
1064,Parts Per Million,375.07,2003.0,1.0,2003.0833333333333
1066,Parts Per Million,375.82,2003.0,2.0,2003.1666666666667
1068,Parts Per Million,376.64,2003.0,3.0,2003.25
1070,Parts Per Million,377.92,2003.0,4.0,2003.3333333333333
1072,Parts Per Million,378.78,2003.0,5.0,2003.4166666666667
1074,Parts Per Million,378.46,2003.0,6.0,2003.5
1076,Parts Per Million,376.88,2003.0,7.0,2003.5833333333333
1078,Parts Per Million,374.57,2003.0,8.0,2003.6666666666667
1080,Parts Per Million,373.34,2003.0,9.0,2003.75
1082,Parts Per Million,373.31,2003.0,10.0,2003.8333333333333
1084,Parts Per Million,374.84,2003.0,11.0,2003.9166666666667
1086,Parts Per Million,376.17,2003.0,12.0,2004.0
1088,Parts Per Million,377.17,2004.0,1.0,2004.0833333333333
1090,Parts Per Million,378.05,2004.0,2.0,2004.1666666666667
1092,Parts Per Million,379.06,2004.0,3.0,2004.25
1094,Parts Per Million,380.54,2004.0,4.0,2004.3333333333333
1096,Parts Per Million,380.8,2004.0,5.0,2004.4166666666667
1098,Parts Per Million,379.87,2004.0,6.0,2004.5
1100,Parts Per Million,377.65,2004.0,7.0,2004.5833333333333
1102,Parts Per Million,376.17,2004.0,8.0,2004.6666666666667
1104,Parts Per Million,374.43,2004.0,9.0,2004.75
1106,Parts Per Million,374.63,2004.0,10.0,2004.8333333333333
1108,Parts Per Million,376.33,2004.0,11.0,2004.9166666666667
1110,Parts Per Million,377.68,2004.0,12.0,2005.0
1112,Parts Per Million,378.63,2005.0,1.0,2005.0833333333333
1114,Parts Per Million,379.91,2005.0,2.0,2005.1666666666667
1116,Parts Per Million,380.95,2005.0,3.0,2005.25
1118,Parts Per Million,382.48,2005.0,4.0,2005.3333333333333
1120,Parts Per Million,382.64,2005.0,5.0,2005.4166666666667
1122,Parts Per Million,382.4,2005.0,6.0,2005.5
1124,Parts Per Million,380.93,2005.0,7.0,2005.5833333333333
1126,Parts Per Million,378.93,2005.0,8.0,2005.6666666666667
1128,Parts Per Million,376.89,2005.0,9.0,2005.75
1130,Parts Per Million,377.19,2005.0,10.0,2005.8333333333333
1132,Parts Per Million,378.54,2005.0,11.0,2005.9166666666667
1134,Parts Per Million,380.31,2005.0,12.0,2006.0
1136,Parts Per Million,381.58,2006.0,1.0,2006.0833333333333
1138,Parts Per Million,382.4,2006.0,2.0,2006.1666666666667
1140,Parts Per Million,382.86,2006.0,3.0,2006.25
1142,Parts Per Million,384.8,2006.0,4.0,2006.3333333333333
1144,Parts Per Million,385.22,2006.0,5.0,2006.4166666666667
1146,Parts Per Million,384.24,2006.0,6.0,2006.5
1148,Parts Per Million,382.65,2006.0,7.0,2006.5833333333333
1150,Parts Per Million,380.6,2006.0,8.0,2006.6666666666667
1152,Parts Per Million,379.04,2006.0,9.0,2006.75
1154,Parts Per Million,379.33,2006.0,10.0,2006.8333333333333
1156,Parts Per Million,380.35,2006.0,11.0,2006.9166666666667
1158,Parts Per Million,382.02,2006.0,12.0,2007.0
1160,Parts Per Million,383.1,2007.0,1.0,2007.0833333333333
1162,Parts Per Million,384.12,2007.0,2.0,2007.1666666666667
1164,Parts Per Million,384.81,2007.0,3.0,2007.25
1166,Parts Per Million,386.73,2007.0,4.0,2007.3333333333333
1168,Parts Per Million,386.78,2007.0,5.0,2007.4166666666667
1170,Parts Per Million,386.33,2007.0,6.0,2007.5
1172,Parts Per Million,384.73,2007.0,7.0,2007.5833333333333
1174,Parts Per Million,382.24,2007.0,8.0,2007.6666666666667
1176,Parts Per Million,381.2,2007.0,9.0,2007.75
1178,Parts Per Million,381.37,2007.0,10.0,2007.8333333333333
1180,Parts Per Million,382.7,2007.0,11.0,2007.9166666666667
1182,Parts Per Million,384.19,2007.0,12.0,2008.0
1184,Parts Per Million,385.78,2008.0,1.0,2008.0833333333333
1186,Parts Per Million,386.06,2008.0,2.0,2008.1666666666667
1188,Parts Per Million,386.28,2008.0,3.0,2008.25
1190,Parts Per Million,387.34,2008.0,4.0,2008.3333333333333
1192,Parts Per Million,388.78,2008.0,5.0,2008.4166666666667
1194,Parts Per Million,387.99,2008.0,6.0,2008.5
1196,Parts Per Million,386.61,2008.0,7.0,2008.5833333333333
1198,Parts Per Million,384.32,2008.0,8.0,2008.6666666666667
1200,Parts Per Million,383.41,2008.0,9.0,2008.75
1202,Parts Per Million,383.21,2008.0,10.0,2008.8333333333333
1204,Parts Per Million,384.41,2008.0,11.0,2008.9166666666667
1206,Parts Per Million,385.79,2008.0,12.0,2009.0
1208,Parts Per Million,387.17,2009.0,1.0,2009.0833333333333
1210,Parts Per Million,387.7,2009.0,2.0,2009.1666666666667
1212,Parts Per Million,389.04,2009.0,3.0,2009.25
1214,Parts Per Million,389.76,2009.0,4.0,2009.3333333333333
1216,Parts Per Million,390.36,2009.0,5.0,2009.4166666666667
1218,Parts Per Million,389.7,2009.0,6.0,2009.5
1220,Parts Per Million,388.24,2009.0,7.0,2009.5833333333333
1222,Parts Per Million,386.29,2009.0,8.0,2009.6666666666667
1224,Parts Per Million,384.95,2009.0,9.0,2009.75
1226,Parts Per Million,384.64,2009.0,10.0,2009.8333333333333
1228,Parts Per Million,386.23,2009.0,11.0,2009.9166666666667
1230,Parts Per Million,387.63,2009.0,12.0,2010.0
1232,Parts Per Million,388.91,2010.0,1.0,2010.0833333333333
1234,Parts Per Million,390.41,2010.0,2.0,2010.1666666666667
1236,Parts Per Million,391.37,2010.0,3.0,2010.25
1238,Parts Per Million,392.67,2010.0,4.0,2010.3333333333333
1240,Parts Per Million,393.21,2010.0,5.0,2010.4166666666667
1242,Parts Per Million,392.38,2010.0,6.0,2010.5
1244,Parts Per Million,390.41,2010.0,7.0,2010.5833333333333
1246,Parts Per Million,388.54,2010.0,8.0,2010.6666666666667
1248,Parts Per Million,387.03,2010.0,9.0,2010.75
1250,Parts Per Million,387.43,2010.0,10.0,2010.8333333333333
1252,Parts Per Million,388.87,2010.0,11.0,2010.9166666666667
1254,Parts Per Million,389.99,2010.0,12.0,2011.0
1256,Parts Per Million,391.5,2011.0,1.0,2011.0833333333333
1258,Parts Per Million,392.05,2011.0,2.0,2011.1666666666667
1260,Parts Per Million,392.8,2011.0,3.0,2011.25
1262,Parts Per Million,393.44,2011.0,4.0,2011.3333333333333
1264,Parts Per Million,394.41,2011.0,5.0,2011.4166666666667
1266,Parts Per Million,393.95,2011.0,6.0,2011.5
1268,Parts Per Million,392.72,2011.0,7.0,2011.5833333333333
1270,Parts Per Million,390.33,2011.0,8.0,2011.6666666666667
1272,Parts Per Million,389.28,2011.0,9.0,2011.75
1274,Parts Per Million,389.19,2011.0,10.0,2011.8333333333333
1276,Parts Per Million,390.48,2011.0,11.0,2011.9166666666667
1278,Parts Per Million,392.06,2011.0,12.0,2012.0
1280,Parts Per Million,393.31,2012.0,1.0,2012.0833333333333
1282,Parts Per Million,394.04,2012.0,2.0,2012.1666666666667
1284,Parts Per Million,394.59,2012.0,3.0,2012.25
1286,Parts Per Million,396.38,2012.0,4.0,2012.3333333333333
1288,Parts Per Million,396.93,2012.0,5.0,2012.4166666666667
1290,Parts Per Million,395.91,2012.0,6.0,2012.5
1292,Parts Per Million,394.56,2012.0,7.0,2012.5833333333333
1294,Parts Per Million,392.59,2012.0,8.0,2012.6666666666667
1296,Parts Per Million,391.32,2012.0,9.0,2012.75
1298,Parts Per Million,391.27,2012.0,10.0,2012.8333333333333
1300,Parts Per Million,393.2,2012.0,11.0,2012.9166666666667
1302,Parts Per Million,394.57,2012.0,12.0,2013.0
1304,Parts Per Million,395.78,2013.0,1.0,2013.0833333333333
1306,Parts Per Million,397.03,2013.0,2.0,2013.1666666666667
1308,Parts Per Million,397.66,2013.0,3.0,2013.25
1310,Parts Per Million,398.64,2013.0,4.0,2013.3333333333333
1312,Parts Per Million,400.02,2013.0,5.0,2013.4166666666667
1314,Parts Per Million,398.81,2013.0,6.0,2013.5
1316,Parts Per Million,397.51,2013.0,7.0,2013.5833333333333
1318,Parts Per Million,395.39,2013.0,8.0,2013.6666666666667
1320,Parts Per Million,393.72,2013.0,9.0,2013.75
1322,Parts Per Million,393.9,2013.0,10.0,2013.8333333333333
1324,Parts Per Million,395.36,2013.0,11.0,2013.9166666666667
1326,Parts Per Million,397.03,2013.0,12.0,2014.0
1328,Parts Per Million,398.04,2014.0,1.0,2014.0833333333333
1330,Parts Per Million,398.27,2014.0,2.0,2014.1666666666667
1332,Parts Per Million,399.91,2014.0,3.0,2014.25
1334,Parts Per Million,401.51,2014.0,4.0,2014.3333333333333
1336,Parts Per Million,401.96,2014.0,5.0,2014.4166666666667
1338,Parts Per Million,401.43,2014.0,6.0,2014.5
1340,Parts Per Million,399.27,2014.0,7.0,2014.5833333333333
1342,Parts Per Million,397.18,2014.0,8.0,2014.6666666666667
1344,Parts Per Million,395.54,2014.0,9.0,2014.75
1346,Parts Per Million,396.16,2014.0,10.0,2014.8333333333333
1348,Parts Per Million,397.4,2014.0,11.0,2014.9166666666667
1350,Parts Per Million,399.08,2014.0,12.0,2015.0
1352,Parts Per Million,400.18,2015.0,1.0,2015.0833333333333
1354,Parts Per Million,400.55,2015.0,2.0,2015.1666666666667
1356,Parts Per Million,401.74,2015.0,3.0,2015.25
1358,Parts Per Million,403.34,2015.0,4.0,2015.3333333333333
1360,Parts Per Million,404.15,2015.0,5.0,2015.4166666666667
1362,Parts Per Million,402.97,2015.0,6.0,2015.5
1364,Parts Per Million,401.46,2015.0,7.0,2015.5833333333333
1366,Parts Per Million,399.11,2015.0,8.0,2015.6666666666667
1368,Parts Per Million,397.82,2015.0,9.0,2015.75
1370,Parts Per Million,398.49,2015.0,10.0,2015.8333333333333
1372,Parts Per Million,400.27,2015.0,11.0,2015.9166666666667
1374,Parts Per Million,402.06,2015.0,12.0,2016.0
1376,Parts Per Million,402.73,2016.0,1.0,2016.0833333333333
1378,Parts Per Million,404.25,2016.0,2.0,2016.1666666666667
1380,Parts Per Million,405.06,2016.0,3.0,2016.25
1382,Parts Per Million,407.6,2016.0,4.0,2016.3333333333333
1384,Parts Per Million,407.9,2016.0,5.0,2016.4166666666667
1386,Parts Per Million,406.99,2016.0,6.0,2016.5
1388,Parts Per Million,404.59,2016.0,7.0,2016.5833333333333
1390,Parts Per Million,402.45,2016.0,8.0,2016.6666666666667
1392,Parts Per Million,401.23,2016.0,9.0,2016.75
1394,Parts Per Million,401.79,2016.0,10.0,2016.8333333333333
1396,Parts Per Million,403.72,2016.0,11.0,2016.9166666666667
1398,Parts Per Million,404.64,2016.0,12.0,2017.0
1400,Parts Per Million,406.36,2017.0,1.0,2017.0833333333333
1402,Parts Per Million,406.66,2017.0,2.0,2017.1666666666667
1404,Parts Per Million,407.54,2017.0,3.0,2017.25
1406,Parts Per Million,409.22,2017.0,4.0,2017.3333333333333
1408,Parts Per Million,409.89,2017.0,5.0,2017.4166666666667
1410,Parts Per Million,409.08,2017.0,6.0,2017.5
1412,Parts Per Million,407.33,2017.0,7.0,2017.5833333333333
1414,Parts Per Million,405.32,2017.0,8.0,2017.6666666666667
1416,Parts Per Million,403.57,2017.0,9.0,2017.75
1418,Parts Per Million,403.82,2017.0,10.0,2017.8333333333333
1420,Parts Per Million,405.31,2017.0,11.0,2017.9166666666667
1422,Parts Per Million,407.0,2017.0,12.0,2018.0
1424,Parts Per Million,408.15,2018.0,1.0,2018.0833333333333
1426,Parts Per Million,408.52,2018.0,2.0,2018.1666666666667
1428,Parts Per Million,409.59,2018.0,3.0,2018.25
1430,Parts Per Million,410.45,2018.0,4.0,2018.3333333333333
1432,Parts Per Million,411.44,2018.0,5.0,2018.4166666666667
1434,Parts Per Million,410.99,2018.0,6.0,2018.5
1436,Parts Per Million,408.9,2018.0,7.0,2018.5833333333333
1438,Parts Per Million,407.16,2018.0,8.0,2018.6666666666667
1440,Parts Per Million,405.71,2018.0,9.0,2018.75
1442,Parts Per Million,406.19,2018.0,10.0,2018.8333333333333
1444,Parts Per Million,408.21,2018.0,11.0,2018.9166666666667
1446,Parts Per Million,409.27,2018.0,12.0,2019.0
1448,Parts Per Million,411.03,2019.0,1.0,2019.0833333333333
1450,Parts Per Million,411.96,2019.0,2.0,2019.1666666666667
1452,Parts Per Million,412.18,2019.0,3.0,2019.25
1454,Parts Per Million,413.54,2019.0,4.0,2019.3333333333333
1456,Parts Per Million,414.86,2019.0,5.0,2019.4166666666667
1458,Parts Per Million,414.15,2019.0,6.0,2019.5
1460,Parts Per Million,411.96,2019.0,7.0,2019.5833333333333
1462,Parts Per Million,410.17,2019.0,8.0,2019.6666666666667
1464,Parts Per Million,408.76,2019.0,9.0,2019.75
1466,Parts Per Million,408.74,2019.0,10.0,2019.8333333333333
1468,Parts Per Million,410.47,2019.0,11.0,2019.9166666666667
1470,Parts Per Million,411.97,2019.0,12.0,2020.0
1472,Parts Per Million,413.59,2020.0,1.0,2020.0833333333333
1474,Parts Per Million,414.32,2020.0,2.0,2020.1666666666667
1476,Parts Per Million,414.71,2020.0,3.0,2020.25
1478,Parts Per Million,416.42,2020.0,4.0,2020.3333333333333
1480,Parts Per Million,417.28,2020.0,5.0,2020.4166666666667
1482,Parts Per Million,416.58,2020.0,6.0,2020.5
1484,Parts Per Million,414.58,2020.0,7.0,2020.5833333333333
1486,Parts Per Million,412.75,2020.0,8.0,2020.6666666666667
1488,Parts Per Million,411.49,2020.0,9.0,2020.75
1490,Parts Per Million,411.48,2020.0,10.0,2020.8333333333333
1492,Parts Per Million,413.1,2020.0,11.0,2020.9166666666667
1494,Parts Per Million,414.23,2020.0,12.0,2021.0
1496,Parts Per Million,415.49,2021.0,1.0,2021.0833333333333
1498,Parts Per Million,416.72,2021.0,2.0,2021.1666666666667
1500,Parts Per Million,417.61,2021.0,3.0,2021.25
1502,Parts Per Million,419.01,2021.0,4.0,2021.3333333333333
1504,Parts Per Million,419.09,2021.0,5.0,2021.4166666666667
1506,Parts Per Million,418.92,2021.0,6.0,2021.5
1508,Parts Per Million,416.9,2021.0,7.0,2021.5833333333333
1510,Parts Per Million,414.42,2021.0,8.0,2021.6666666666667
1512,Parts Per Million,413.26,2021.0,9.0,2021.75
1514,Parts Per Million,413.9,2021.0,10.0,2021.8333333333333
1516,Parts Per Million,414.97,2021.0,11.0,2021.9166666666667
1518,Parts Per Million,416.67,2021.0,12.0,2022.0
1520,Parts Per Million,418.13,2022.0,1.0,2022.0833333333333
1522,Parts Per Million,419.24,2022.0,2.0,2022.1666666666667
1524,Parts Per Million,418.76,2022.0,3.0,2022.25
1526,Parts Per Million,420.19,2022.0,4.0,2022.3333333333333
1528,Parts Per Million,420.97,2022.0,5.0,2022.4166666666667
1530,Parts Per Million,420.94,2022.0,6.0,2022.5
1532,Parts Per Million,418.85,2022.0,7.0,2022.5833333333333
1534,Parts Per Million,417.15,2022.0,8.0,2022.6666666666667
1536,Parts Per Million,415.91,2022.0,9.0,2022.75
1538,Parts Per Million,415.74,2022.0,10.0,2022.8333333333333
1540,Parts Per Million,417.47,2022.0,11.0,2022.9166666666667
1542,Parts Per Million,418.99,2022.0,12.0,2023.0
1544,Parts Per Million,419.48,2023.0,1.0,2023.0833333333333
1546,Parts Per Million,420.3,2023.0,2.0,2023.1666666666667
1548,Parts Per Million,420.98,2023.0,3.0,2023.25
1550,Parts Per Million,423.36,2023.0,4.0,2023.3333333333333
1552,Parts Per Million,424.0,2023.0,5.0,2023.4166666666667
1554,Parts Per Million,423.68,2023.0,6.0,2023.5
1556,Parts Per Million,421.83,2023.0,7.0,2023.5833333333333
1558,Parts Per Million,419.68,2023.0,8.0,2023.6666666666667
1560,Parts Per Million,418.51,2023.0,9.0,2023.75
1562,Parts Per Million,418.82,2023.0,10.0,2023.8333333333333
1564,Parts Per Million,420.46,2023.0,11.0,2023.9166666666667
